blk_no,street,postal_code,name,lat,lon
11,TUDOR CLOSE,297946,DUNEARN ESTATE,1.32658222144443,103.81981258876
16,TUDOR CLOSE,297947,DUNEARN ESTATE,1.3270939918976,103.82004982461
11,TREVOSE PLACE,297995,NIL,1.32791867561989,103.821170962077
11,TREVOSE PLACE,297995,TREVOSE PLACE,1.32796041660514,103.821115644712
70,JALAN BAHASA,299296,NIL,1.32868167168332,103.819232157005
3,DUNEARN CLOSE,299575,CAPITOL PARK,1.32391991285152,103.814596667835
18,COLLEGE GREEN,299677,DUNEARN ROAD HOSTELS,1.32399897914658,103.81700736977
33,COLLEGE GREEN,299692,DUNEARN ROAD HOSTELS,1.32364671298589,103.815495559722
62,ANDREW ROAD,299971,CALDECOTT HILL ESTATE,1.33530952872892,103.834031509512
1,PADANG CHANCERY,307876,NIL,1.32496145784557,103.838330678761
36,NEWTON ROAD,307964,HOTEL ROYAL,1.3168306104774,103.84185948495
12,MOUNT ROSIE TERRACE,308014,MOUNT ROSIE TERRACE,1.32168084406002,103.834312213651
4A,MALCOLM ROAD,308252,NIL,1.32402525303781,103.834951257043
4B,MALCOLM ROAD,308252,NIL,1.32402525276408,103.834951257315
10,GOLDHILL DRIVE,308959,GOLDHILL GARDENS,1.32009314121606,103.83229277242
29,GOLDHILL AVENUE,309016,GOLDHILL GARDENS,1.31922749354074,103.833017960283
65,GENTLE DRIVE,309268,GENTLE VILLAS,1.32137929203624,103.840616634734
15,AKYAB ROAD,309976,NIL,1.3240699876973,103.847814183489
10,LORONG 1 TOA PAYOH,319974,THE ORIE (U/C),1.33970675433727,103.850057290416
8,SAINT GEORGE'S LANE,320008,NIL,1.32357575802378,103.859877235646
43,JALAN BAHAGIA,320043,WHAMPOA GARDENS,1.32706129594152,103.857074784242
24E,SAINT MICHAEL'S ROAD,327988,NIL,1.32673666160036,103.863513159829
15,MCNAIR ROAD,328521,TOWNERVILLE,1.31927590452764,103.857326342841
3,MARTABAN ROAD,328628,NIL,1.32364998975475,103.851371234092
54,KIM KEAT ROAD,328824,NIL,1.32501657789375,103.85374750683
54A,KIM KEAT ROAD,328824,NIL,1.32501657762003,103.853747507102
38,JALAN TAMAN,328986,NIL,1.32594000021654,103.864853890622
71,JALAN TAMAN,329009,NIL,1.32635840499877,103.864815002779
26,JALAN SEMERBAK,329055,NIL,1.32548562893814,103.863106072226
4,BOON KENG ROAD,330004,NIL,1.31569896370315,103.859785170022
64,KALLANG BAHRU,330064,NIL,1.32034663718702,103.86834750594
80,BOON KENG ROAD,339780,AUMOVIO BUILDING,1.31560969603957,103.863281240839
56,SIANG KUANG AVENUE,347975,SENNETT ESTATE,1.32939946013349,103.871828709159
